std_inchi_key,receptor_name,Standard_Value,pChEMBL_Value
AUIFRJWXYUNPPV-QFIPXVFZSA-N,GR,39.0,7.449999999999999
AUIFRJWXYUNPPV-UHFFFAOYSA-N,GR,58.0,7.25
AUIMFSVOBQZLLA-UHFFFAOYSA-N,ERb,25929.39,4.59
AUIQVMLZIOYPBH-MRVPVSSYSA-N,AR,5.4,8.27
AUIQVMLZIOYPBH-QMMMGPOBSA-N,AR,9.8,8.01
AUKXKHSDCMSKKB-UHFFFAOYSA-N,GR,120.0,6.92
AUKXKHSDCMSKKB-UHFFFAOYSA-N,PR,44.0,7.36
AURKEGXHQRGHFD-SANMLTNESA-N,GR,8.295,8.515
AUSLDGVMWQDFIM-ZDUSSCGKSA-N,MR,1969.0,5.71
AUTNPBPPDBWRNC-UHFFFAOYSA-N,PR,28.0,7.55
AUURCJRXNDZHEQ-QGOAFFKASA-N,ERa,2.0,8.7
AUURCJRXNDZHEQ-QGOAFFKASA-N,ERb,3.0,8.52
AUUZFVMRJYCGRK-CRICUBBOSA-N,MR,2000.0,5.7
AUVVLUUBOATATQ-PMACEKPBSA-N,AR,70.0,7.16
AUZAPDKLWBEFHV-UHFFFAOYSA-N,ERa,39400.0,4.41
AUZLISXBMGKYGA-UHFFFAOYSA-N,ERa,10.3,7.99
AUZLISXBMGKYGA-UHFFFAOYSA-N,ERb,2.3,8.64
AUZUBZUZHSEFBR-UHFFFAOYSA-N,GR,42.980000000000004,7.375
AVAMLNIBPCMXPJ-LLVKDONJSA-N,GR,10.0,8.0
AVAMLNIBPCMXPJ-LLVKDONJSA-N,PR,630.96,6.2
AVCGZOUNTCPWNC-HSZRJFAPSA-N,GR,413.0,6.53
AVEMUXFNMGKYNB-LKJWXFBHSA-N,AR,110.0,6.96
AVFDXNWSUAKMFB-UHFFFAOYSA-N,ERa,49.0,7.31
AVFDXNWSUAKMFB-UHFFFAOYSA-N,ERb,3.2,8.49
AVMHMONGKJAANX-UHFFFAOYSA-N,AR,840.0,6.08
AVOILJLMPQVGEO-UHFFFAOYSA-N,MR,2700.0,5.57
